Country,Country ISO3,Relevant target,Relevant target (Unofficial English translation generated by Artificial Intelligence),Implemented Action,Other implemented action,Other implemented action (Unofficial English translation generated by Artificial Intelligence),Location,Location (Unofficial English translation generated by Artificial Intelligence),Date the action started,Extent of action,Total area implemented,Geometry UID,Geometry type
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,Katamina,"There is no meaning to the text ""Katamina"" in English.",2018-09-10,0.5,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,Kumbanye,"I'm sorry, ""Kumbanye"" does not have a meaning or translation in English.",2019-02-11,0.1,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,Lamin Koto,Lamin Koto,2019-03-13,0.3,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,Macca saderr,This text does not have a clear meaning or translation in English.,2019-07-11,0.1,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,Mori Kunda,Mori Kunda,2005-06-14,0.4,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,Niamina Sotokoi,Niamina Sotokoi,2013-06-12,2.3,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,Njoben Fula,Njoben Fula,2019-01-24,0.3,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,Pallang Mandinka,"I'm sorry, but ""Pallang Mandinka"" does not have a specific meaning or translation in English.",2019-06-11,0.2,37.9,NA,MultiPolygon
Gambia,GMB,"Halt the conversion of forests and wetlands to other land cover classes by 2025 
",NA,Same As Targeted Actions,NA,NA,Tanbi Wetland Reserve,"There is no meaning to the text ""Tanbi Wetland Reserve.""",NA,75.6,410.3,NA,MultiPolygon
Gambia,GMB,"Halt the conversion of forests and wetlands to other land cover classes by 2025 
",NA,Same As Targeted Actions,NA,NA,Bao Bolong Wetland Reserve,NA,NA,295.7,410.3,NA,MultiPolygon
Gambia,GMB,"Halt the conversion of forests and wetlands to other land cover classes by 2025 
",NA,Same As Targeted Actions,NA,NA,Bamba Forest Park,Bamba Forest Park,NA,4.2,410.3,NA,MultiPolygon
Gambia,GMB,"Halt the conversion of forests and wetlands to other land cover classes by 2025 
",NA,Same As Targeted Actions,NA,NA,Bijilo Forest Park,"No translation needed, ""Bijilo Forest Park"" is already in English.",NA,0.4,410.3,NA,MultiPolygon
Gambia,GMB,"Halt the conversion of forests and wetlands to other land cover classes by 2025 
",NA,Same As Targeted Actions,NA,NA,Fintong Manareg Forest Park,NA,NA,11.4,410.3,NA,MultiPolygon
Gambia,GMB,"Halt the conversion of forests and wetlands to other land cover classes by 2025 
",NA,Same As Targeted Actions,NA,NA,Furuya Forest Park,Furuya Forest Park,NA,4.8,410.3,NA,MultiPolygon
Gambia,GMB,"Halt the conversion of forests and wetlands to other land cover classes by 2025 
",NA,Same As Targeted Actions,NA,NA,Kabafita Forest Park,Kabafita Forest Park,NA,2.3,410.3,NA,MultiPolygon
Gambia,GMB,"Halt the conversion of forests and wetlands to other land cover classes by 2025 
",NA,Same As Targeted Actions,NA,NA,Nyambai Forest Park,Nyambai Forest Park,NA,2.1,410.3,NA,MultiPolygon
Gambia,GMB,"Halt the conversion of forests and wetlands to other land cover classes by 2025 
",NA,Same As Targeted Actions,NA,NA,Bolong Fenyo Wetland Reserve,NA,NA,1.7,410.3,NA,MultiPolygon
Gambia,GMB,"Halt the conversion of forests and wetlands to other land cover classes by 2025 
",NA,Same As Targeted Actions,NA,NA,Salagi Forest Park,Salagi Forest Park,NA,3.1,410.3,l6goa-onwvf-21mac-r7stb,MultiPolygon
Gambia,GMB,Improve productivity and SOC stocks by 50% in cropland and grasslands by 2030 ,NA,Other,Agro Forestry Farms and New Pastures,NA,"West Coast Region, Lower River Region, Central River Region, North Bank Region and Upper River Region",NA,2016-06-08,15.0,15.0,NA,NA
